"year","fips","pop2010","pop2024","state","stateCode","growthSince2010","name","ctyname","slug","landArea","density","StatePercentage","StateRank","densityMi","area"
2024,34003,906293,949233,"New Jersey","NJ",0.04737982087470605,"Bergen County","Bergen County","bergen-county-nj",233,4073.961373390558,0.10262893717547782,1,4073.961373390558,233
2024,34023,810813,859598,"New Jersey","NJ",0.06016800421305524,"Middlesex County","Middlesex County","middlesex-county-nj",309,2781.8705501618124,0.09293780256076893,2,2781.8705501618124,309
2024,34013,784017,840189,"New Jersey","NJ",0.07164640562640856,"Essex County","Essex County","essex-county-nj",126,6668.166666666667,0.09083934513078193,3,6668.166666666667,126
2024,34017,635648,703204,"New Jersey","NJ",0.10627894683850192,"Hudson County","Hudson County","hudson-county-nj",46,15287.04347826087,0.07602883500420307,4,15287.04347826087,46
2024,34029,577574,667723,"New Jersey","NJ",0.15608216436335431,"Ocean County","Ocean County","ocean-county-nj",629,1061.56279809221,0.07219270907945843,5,1061.56279809221,629
2024,34025,630454,639510,"New Jersey","NJ",0.01436425179315215,"Monmouth County","Monmouth County","monmouth-county-nj",468,1366.474358974359,0.06914238296929186,6,1366.474358974359,468
2024,34039,537336,563825,"New Jersey","NJ",0.049296901752348576,"Union County","Union County","union-county-nj",103,5474.0291262135925,0.06095949098162809,7,5474.0291262135925,103
2024,34007,513283,526473,"New Jersey","NJ",0.02569732486756826,"Camden County","Camden County","camden-county-nj",221,2382.230769230769,0.056921076744682636,8,2382.230769230769,221
2024,34027,492623,512565,"New Jersey","NJ",0.040481260517677864,"Morris County","Morris County","morris-county-nj",460,1114.2717391304348,0.05541737506318131,9,1114.2717391304348,460
2024,34031,502010,505118,"New Jersey","NJ",0.006191111730841969,"Passaic County","Passaic County","passaic-county-nj",186,2715.6881720430106,0.05461222217116662,10,2715.6881720430106,186
2024,34005,449125,469487,"New Jersey","NJ",0.045337044252713676,"Burlington County","Burlington County","burlington-county-nj",799,587.59324155194,0.05075987858376558,11,587.59324155194,799
2024,34021,367717,377832,"New Jersey","NJ",0.027507566960461416,"Mercer County","Mercer County","mercer-county-nj",225,1679.2533333333333,0.04085034611195053,12,1679.2533333333333,225
2024,34035,324120,347963,"New Jersey","NJ",0.07356226089102802,"Somerset County","Somerset County","somerset-county-nj",302,1152.1953642384105,0.0376209770060573,13,1152.1953642384105,302
2024,34015,289158,310563,"New Jersey","NJ",0.07402527337995135,"Gloucester County","Gloucester County","gloucester-county-nj",322,964.4813664596273,0.03357737311706179,14,964.4813664596273,322
2024,34001,274654,276654,"New Jersey","NJ",0.0072818892133375,"Atlantic County","Atlantic County","atlantic-county-nj",556,497.5791366906475,0.029911208296956215,15,497.5791366906475,556
2024,34011,156667,149890,"New Jersey","NJ",-0.04325735477158554,"Cumberland County","Cumberland County","cumberland-county-nj",484,309.6900826446281,0.01620576970378439,16,309.6900826446281,484
2024,34037,148859,146962,"New Jersey","NJ",-0.012743603006872273,"Sussex County","Sussex County","sussex-county-nj",518,283.7104247104247,0.01588920092873148,17,283.7104247104247,518
2024,34019,127323,129995,"New Jersey","NJ",0.02098599624576858,"Hunterdon County","Hunterdon County","hunterdon-county-nj",428,303.7266355140187,0.01405476704679066,18,303.7266355140187,428
2024,34041,108572,111790,"New Jersey","NJ",0.029639317687801592,"Warren County","Warren County","warren-county-nj",357,313.1372549019608,0.012086483389059025,19,313.1372549019608,357
2024,34009,97222,95366,"New Jersey","NJ",-0.019090329349324198,"Cape May County","Cape May County","cape-may-county-nj",251,379.9442231075697,0.010310757445934368,20,379.9442231075697,251
2024,34033,65983,65235,"New Jersey","NJ",-0.01133625327735932,"Salem County","Salem County","salem-county-nj",332,196.49096385542168,0.0070530614892679614,21,196.49096385542168,332